Concept,Govor Lužnice,Govor Kuča,Govor Hvara,Govor severne Metohije
blood,krv,krv,"kor, korv",krv
bone,"kos, koska, koʧina, koʃʧina",kos,kost,kos
breast (woman’s),"grudi, pazuka, siska","grudi, ɲedra, prsi, sisa","nidra, parsi, sisa","grudi, ʥuks, prsi, sisa"
come,"dojde, doodi","doj, dodit","arivat, arivovat, doʨ","doʨ, doj, dojti, dolazit"
die,"umira, umre","umirat, umrijet","partivat, portit, umirot, umrit",umret
dog,"kuʧe, pseto, pʦeto","kuʧak, pas","kuʦak, pas, psetina, pasiʨ","ker, pas"
drink (verb),"pije, popije","pit, popit","pit, popit","pit, popit"
ear,uo,"uvo, uho",uho,uvo
eye,oko,oko,oko,oko
fire,ogaɲ,"ogaɲ, vatra","ogaɲ, ogoɲ","vatra, ogaɲ"
fish (noun),riba,riba,riba,riba
full,pun,pun,pun,pun
hand,ruka,ruka,ruka,ruka
hear,ʧuje,"ʧunut, ʧut",ʦut,ʧut
horn (animal part),rog,rog,rog,rog
I,ja,ja,jo,ja
knee,koleno,koleno,kolino,koleno
leaf,lis,lis,list,N/A
liver,"ʤigeriʦa, ʤiʥeriʦa, ʥiʤeriʦa, drob, ʦrni drob","utrobiʦa, ʦrnа utrobiʦa","jotra, ʒigeriʦa",ʤigeriʦa
louse,vəʃka,uʃ,N/A,"vaʃ, vaʃka, uʃ"
mountain,"gora, planina",planina,muntaɲa,planina
name (noun),ime,ime,ime,ime
new,nov,nov,nov,nov
night (dark time),noʧ,noj,noʨ,"noj, noʨ "
nose,nos,nos,nos,nos
one,jedən,jedan,jedon,jedan
path,put,put,put,put
person,ʧovek,"ʧek, ʧoek",ʦovik,ʧovek
see,vidi,viʥet,vidit,videt
skin,koʒa,"ʧapra, koʒa",koʒa,"ʧapra, koʒa "
star,zvezda,zvijezda,"zvizda, stela",zvezda
stone,kamik,"kami, krʃ","fogol, kamik, stina",kamen
sun,slnʦe,sunʦe,sunʦe,sunʦe
tongue,jezik,jezik,jazik,jezik
tooth,zub,zub,zub,zub
tree,drvo,"drijevo, drvo","darva, drivo",drvo
two,dva,dva,dvo,dva
water,voda,voda,voda,"vada, voda"
we,mi,mi,mi,mi
you,ti,ti,ti,ti
